ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Households_with_access_to_openspace,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E09000001,City of London,City of London,,14.83,16.32,0.59,63620,68.4,97.61223906,3.4,54.093266,4.525341915
E05000026,Abbey,Barking and Dagenham,23.21,33.5,153.54,1.49,33920,34.5,70.7,4.3,32.3920511,14.48823804
E05000027,Alibon,Barking and Dagenham,25.56,35.5,115.38,1.38,32470,16.7,8.01,6.7,33.2669571,12.17173822
E05000028,Becontree,Barking and Dagenham,28.35,33.77,125.42,1.49,33000,20.6,39.17,7,33.8170161,13.81154343
E05000029,Chadwell Heath,Barking and Dagenham,28.78,34.5,119.87,1.68,33920,19.5,63.11,6.8,31.2499598,12.11849192
E05000030,Eastbrook,Barking and Dagenham,24.1,27.17,75.42,0.96,37400,18.5,56.68,5.9,39.5076716,10.9633289
E05000031,Eastbury,Barking and Dagenham,24.26,33.1,112.66,1.46,32870,20,77.43,6.4,39.7377121,12.66540643
E05000032,Gascoigne,Barking and Dagenham,26.13,38.47,135.41,1.44,29480,25.2,87.33,5.9,30.3606449,17.24845996
E05000033,Goresbrook,Barking and Dagenham,25.82,33.27,111.98,1.31,33250,18.8,59.03,6.3,32.1476463,12.27333461
E05000034,Heath,Barking and Dagenham,25.41,39.6,94.83,1.16,31340,17.6,59.26,6.7,20.150057,14.33915212
E05000035,Longbridge,Barking and Dagenham,22.55,18.67,98.27,0.9,40570,25,62.74,4.6,54.2633471,9.158912607
E05000036,Mayesbrook,Barking and Dagenham,24.88,35.43,108.98,1.29,31530,16.2,41.93,7,32.6651958,12.67544807
E05000037,Parsloes,Barking and Dagenham,23.28,34.63,96.25,1.35,31860,16,55.53,7.1,35.8862892,12.74710293
E05000038,River,Barking and Dagenham,31.18,32.77,74.79,1.33,33490,19.5,28.9,5.5,30.1474786,12.25087925
E05000039,Thames,Barking and Dagenham,24.89,35.5,90.82,1.23,32580,24.4,92.47,5.6,29.4907353,15.23789992
E05000040,Valence,Barking and Dagenham,21.47,32.8,93.09,1.45,33200,17.8,86.38,7.6,38.7502411,12.74856385
E05000041,Village,Barking and Dagenham,27.82,36.57,123.28,1.51,31960,17.9,25.38,6.1,19.9426275,14.58498024
E05000042,Whalebone,Barking and Dagenham,24.58,27.1,99.09,1.15,37180,22.4,29.66,4.9,41.7130117,10.37304911
E05000043,Brunswick Park,Barnet,15.27,16.77,63.74,0.59,39800,34.4,26.69,4.7,69.1450888,7.345497351
E05000044,Burnt Oak,Barnet,24.44,32.37,78.41,1.09,29400,24.7,25.78,6.1,35.8867478,11.17667083
E05000045,Childs Hill,Barnet,20.11,23.7,119.07,1.01,38960,43.7,0.86,5.1,61.060876,8.843984962
E05000046,Colindale,Barnet,25.1,34.4,63.17,1.32,30170,30.8,32.9,4.7,37.2194761,11.7875191
E05000047,Coppetts,Barnet,19.09,23.17,108.54,0.92,38090,40.6,25.98,5,63.9189416,7.924606894
E05000048,East Barnet,Barnet,21.03,19.2,75.64,0.52,39870,36.5,46.1,4.5,47.7483845,7.312463083
E05000049,East Finchley,Barnet,16.27,20.43,77.99,1.06,41160,49.6,60.79,4.7,52.8396083,6.331512652
E05000050,Edgware,Barnet,20.08,20.43,96.96,0.89,38410,36,32.12,4.3,56.1006624,7.648415685
E05000051,Finchley Church End,Barnet,13.21,10.97,62.15,0.88,45030,48.6,49.36,3.6,64.3736218,5.86893903
E05000052,Garden Suburb,Barnet,13.4,7.8,84.65,0.69,53090,57.3,23.2,2.7,91.2051856,4.507897934
E05000053,Golders Green,Barnet,16.53,16.3,82.81,1.07,40800,37.4,22.79,4.4,62.2444156,7.796728159
E05000054,Hale,Barnet,22.07,19.1,70.99,0.88,38590,36.5,16.93,4.6,48.2441624,7.35042735
E05000055,Hendon,Barnet,18.52,13.63,75.2,1.02,38530,41.3,44.51,4.1,66.2560069,8.08862504
E05000056,High Barnet,Barnet,14.49,10.67,79.04,0.41,43940,44.3,38.93,4.2,79.4704755,5.536543632
E05000057,Mill Hill,Barnet,19.11,19,78.2,0.85,41920,41.6,56.84,4,60.8933876,6.694515853
E05000058,Oakleigh,Barnet,14.81,17.73,70.75,0.71,41670,40.7,30.32,4.6,71.7303399,5.71873876
E05000059,Totteridge,Barnet,16.26,12.47,56.37,0.58,46150,47,38.89,4,70.4382596,5.230728894
E05000060,Underhill,Barnet,17.79,26.13,69.84,0.98,37040,31.8,39.61,5.5,42.6343845,8.810404182
E05000061,West Finchley,Barnet,16.2,13.57,72.12,0.85,42050,49.5,27.98,4.2,73.8290489,6.267290913
E05000062,West Hendon,Barnet,18.05,19.23,104.12,1.09,35090,34.4,44.96,5,54.3474891,9.001762891
E05000063,Woodhouse,Barnet,19.87,18.8,100.84,0.9,38220,41.3,20.23,5.3,65.7456611,7.355864811
E05000064,Barnehurst,Bexley,23.33,16.67,53.68,0.88,38200,20.1,32.93,4.5,55.4505781,5.966014038
E05000065,Belvedere,Bexley,26.92,27.4,79.05,1.27,33510,21.9,61.23,5.2,24.9596278,9.056727154
